Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,122.330002,122.629997,121.839996,121.849998,4734000,109.087027
2011-12-29,121.519997,122.68,121.459999,122.519997,5133600,109.686848
2011-12-28,122.660004,122.720001,121.129997,121.25,3871400,108.549875
2011-12-27,122.480003,123.00,122.400002,122.669998,3878700,109.821138
2011-12-23,121.699997,122.68,121.50,122.629997,2281300,109.785326
2011-12-22,121.139999,121.550003,120.910004,121.529999,4202800,108.800545
2011-12-21,120.800003,120.870003,119.690002,120.809998,6679800,108.15596
2011-12-20,119.110001,120.879997,119.07,120.68,7867300,108.039579
2011-12-19,118.650002,118.980003,117.050003,117.360001,7977500,105.067327
2011-12-16,119.099998,119.400002,117.889999,118.220001,7758400,105.837248
2011-12-15,119.589996,119.75,118.580002,118.809998,5261400,106.04673
2011-12-14,119.080002,119.489998,117.910004,118.32,10062700,105.609371
2011-12-13,120.910004,121.489998,119.050003,119.510002,7761800,106.671536
2011-12-12,120.910004,120.959999,119.379997,120.239998,6291500,107.323112
2011-12-09,120.470001,122.110001,120.410004,121.779999,8999200,108.697677
2011-12-08,121.50,121.809998,119.639999,119.940002,9595600,107.055344
2011-12-07,121.059998,122.57,120.580002,122.07,9026700,108.956524
2011-12-06,120.959999,122.089996,120.68,121.389999,7062300,108.349573
2011-12-05,121.769997,121.849998,120.209999,120.949997,6285400,107.956838
2011-12-02,121.220001,121.400002,120.00,120.059998,5584400,107.162448
2011-12-01,120.010002,120.550003,119.660004,120.129997,5437700,107.224928
2011-11-30,118.410004,120.389999,118.410004,120.190002,11581500,107.278487
2011-11-29,115.32,116.18,115.110001,115.559998,5325400,103.145864
2011-11-28,114.779999,115.480003,114.309998,115.099998,6666100,102.735281
2011-11-25,112.279999,113.459999,112.139999,112.139999,3532100,100.093263
2011-11-23,113.75,113.889999,112.330002,112.330002,7988400,100.262854
2011-11-22,114.980003,115.529999,114.129997,114.739998,8396900,102.413954
2011-11-21,116.110001,116.32,114.279999,115.160004,18829600,102.78884
2011-11-18,117.959999,118.300003,117.290001,117.730003,8307400,105.082755
2011-11-17,119.059998,119.510002,116.790001,117.830002,10984300,104.917631
2011-11-16,119.870003,121.139999,118.910004,119.099998,7142200,106.048455
2011-11-15,120.379997,121.580002,119.93,120.870003,6467700,107.624494
2011-11-14,121.330002,121.57,120.18,120.709999,7391200,107.482024
2011-11-11,120.239998,121.709999,120.220001,121.529999,7260300,108.212164
2011-11-10,118.959999,119.550003,117.879997,118.889999,9960400,105.861469
2011-11-09,119.330002,119.669998,117.239998,117.690002,12096200,104.792973
2011-11-08,121.010002,121.75,119.900002,121.589996,7383200,108.265587
2011-11-07,119.519997,120.50,118.550003,120.449997,8694400,107.250514
2011-11-04,119.400002,119.68,118.239998,119.599998,7021900,106.493663
2011-11-03,119.230003,120.410004,118.160004,120.190002,12007500,107.019011
2011-11-02,117.800003,118.519997,117.169998,118.129997,7605000,105.184751
2011-11-01,116.900002,117.669998,116.029999,116.379997,15120600,103.626524
2011-10-31,120.75,120.919998,119.269997,119.339996,13398600,106.262153
2011-10-28,121.580002,122.239998,121.360001,122.040001,6666900,108.666278
2011-10-27,121.080002,122.580002,120.449997,121.940002,12948500,108.577238
2011-10-26,118.379997,118.660004,116.68,118.410004,9938700,105.434073
2011-10-25,118.220001,118.360001,116.57,116.790001,9405200,103.991598
2011-10-24,118.169998,119.160004,118.010002,118.879997,8407500,105.852563
2011-10-21,116.449997,117.879997,116.43,117.849998,13012000,104.935436
2011-10-20,115.07,115.769997,113.839996,115.330002,7944500,102.526866
2011-10-19,115.470001,116.25,114.580002,114.949997,15286300,102.189047
2011-10-18,113.540001,116.419998,112.830002,115.510002,11694400,102.686884
2011-10-17,115.839996,115.879997,113.639999,113.900002,8397900,101.255614
2011-10-14,115.82,116.349998,115.160004,116.339996,5256900,103.424738
2011-10-13,114.529999,115.010002,113.639999,114.660004,5493900,101.931246
2011-10-12,114.769997,116.120003,114.410004,114.989998,7855800,102.224607
2011-10-11,113.620003,114.349998,113.529999,114.010002,7836000,101.353404
2011-10-10,112.599998,114.239998,112.589996,114.209999,7176500,101.531198
2011-10-07,111.870003,112.209999,110.379997,111.019997,10022000,98.695328
2011-10-06,109.300003,111.209999,108.470001,111.089996,8534300,98.757556
2011-10-05,107.849998,109.410004,107.260002,109.279999,9967000,97.148492
2011-10-04,105.080002,108.089996,103.839996,107.720001,18100000,95.761675
2011-10-03,108.209999,109.610001,106.300003,106.360001,13520400,94.552652
2011-09-30,109.809998,111.160004,108.870003,108.93,10338600,96.837348
2011-09-29,111.870003,112.50,109.43,111.379997,13212200,99.015364
2011-09-28,112.099998,112.959999,109.739998,109.830002,11260200,97.637438
2011-09-27,112.410004,113.449997,111.089996,111.709999,13564400,99.308731
2011-09-26,108.410004,110.330002,107.480003,110.239998,11476000,98.001919
2011-09-23,106.440002,107.870003,106.129997,107.449997,12056800,95.521645
2011-09-22,107.949997,108.400002,105.720001,107.07,19744500,95.183832
2011-09-21,113.93,114.230003,110.879997,110.949997,14933100,98.633099
2011-09-20,114.260002,115.260002,113.480003,113.879997,8070700,101.237831
2011-09-19,113.099998,114.220001,112.290001,113.720001,9727400,101.095596
2011-09-16,114.610001,115.129997,113.809998,114.860001,12330800,102.109041
2011-09-15,113.43,114.330002,112.830002,114.260002,9646000,101.388963
2011-09-14,111.489998,113.830002,109.870003,112.400002,14634500,99.738486
2011-09-13,110.68,111.370003,109.82,110.919998,10836700,98.4252
2011-09-12,108.370003,110.550003,108.150002,110.510002,10062000,98.061389
2011-09-09,111.639999,111.699997,109.220001,109.82,11877700,97.449113
2011-09-08,113.379997,114.68,112.730003,112.870003,7772800,100.155543
2011-09-07,112.739998,114.019997,112.400002,113.940002,7271500,101.10501
2011-09-06,109.400002,111.459999,109.18,111.209999,10881100,98.682533
2011-09-02,112.739998,113.279999,111.949997,112.279999,9426300,99.632001
2011-09-01,116.089996,117.029999,114.720001,114.870003,7690900,101.930249
2011-08-31,116.160004,116.970001,115.120003,115.949997,8390900,102.888585
2011-08-30,114.830002,116.160004,114.129997,115.349998,10480300,102.356174
2011-08-29,113.970001,115.199997,113.919998,115.139999,7117800,102.169831
2011-08-26,110.720001,113.07,109.089996,112.699997,13140300,100.004687
2011-08-25,113.389999,113.779999,110.809998,111.260002,10391700,98.726904
2011-08-24,111.25,113.07,110.910004,112.949997,9256900,100.226526
2011-08-23,108.849998,111.470001,108.43,111.370003,12374800,98.824513
2011-08-22,110.18,110.300003,108.010002,108.300003,11314800,96.100339
2011-08-19,108.290001,110.629997,107.769997,107.910004,15277500,95.754272
2011-08-18,111.599998,111.699997,109.010002,110.07,18143700,97.299151
2011-08-17,114.699997,115.459999,113.379997,114.260002,9350200,101.003009
2011-08-16,113.940002,114.910004,112.970001,114.080002,10846800,100.843893
2011-08-15,113.779999,114.879997,113.440002,114.809998,13586200,101.489191
2011-08-12,112.489998,113.489998,111.580002,112.800003,14097500,99.712406
2011-08-11,108.199997,112.82,107.830002,111.25,17393500,98.342242
2011-08-10,110.220001,110.669998,106.870003,107.169998,27711600,94.735621
2011-08-09,109.660004,112.379997,105.940002,112.370003,32097800,99.332297
2011-08-08,111.269997,113.029999,108.019997,108.07,30395700,95.5312
2011-08-05,115.129997,115.559998,111.260002,114.25,30450400,100.994167
2011-08-04,117.32,117.57,113.559998,113.709999,19368300,100.51682
2011-08-03,118.599998,118.889999,116.830002,118.800003,16594800,105.016257
2011-08-02,120.32,121.00,118.419998,118.459999,9644500,104.715702
2011-08-01,122.739998,122.959999,119.769997,121.110001,11630000,107.058238
2011-07-29,121.080002,122.230003,120.639999,121.129997,16015400,107.075914
2011-07-28,122.82,123.660004,122.07,122.279999,7454600,108.092487
2011-07-27,124.370003,124.389999,122.690002,122.839996,7558600,108.587511
2011-07-26,125.360001,125.529999,124.669998,124.830002,7202900,110.346627
2011-07-25,125.339996,126.339996,125.129997,125.760002,5236200,111.168724
2011-07-22,126.879997,127.019997,126.220001,126.599998,5848500,111.91126
2011-07-21,126.029999,127.300003,125.730003,127.029999,6881400,112.29137
2011-07-20,125.769997,125.830002,125.260002,125.459999,3291800,110.903529
2011-07-19,124.400002,125.82,124.32,125.629997,5848000,111.053803
2011-07-18,123.900002,124.019997,122.720001,123.620003,6150200,109.277018
2011-07-15,124.709999,124.769997,123.779999,124.559998,7853000,110.10795
2011-07-14,124.889999,125.669998,123.970001,124.209999,6517000,109.699553
2011-07-13,124.959999,125.940002,124.489998,124.800003,7366800,110.220631
2011-07-12,124.860001,125.540001,124.309998,124.330002,12501300,109.805537
2011-07-11,125.169998,125.459999,124.540001,124.949997,6931200,110.353103
2011-07-08,126.029999,126.419998,125.50,126.389999,5987200,111.624881
2011-07-07,126.830002,127.370003,126.599998,127.099998,4400700,112.251937
2011-07-06,125.379997,126.260002,125.230003,126.089996,9795100,111.359925
2011-07-05,125.540001,125.809998,125.160004,125.489998,5324300,110.83002
2011-07-01,124.089996,125.720001,123.800003,125.580002,8692000,110.909509
2011-06-30,122.900002,124.019997,122.760002,123.830002,4754500,109.363948
2011-06-29,122.00,122.610001,121.489998,122.449997,5712400,108.145157
2011-06-28,120.629997,121.650002,120.489998,121.610001,4085500,107.403291
2011-06-27,119.269997,120.730003,119.080002,120.199997,4488800,106.158007
2011-06-24,120.230003,120.309998,118.989998,119.199997,6643300,105.274829
2011-06-23,119.620003,120.339996,118.489998,120.32,9033500,106.263991
2011-06-22,121.150002,121.809998,120.790001,120.809998,4702500,106.696746
2011-06-21,120.980003,121.910004,120.739998,121.589996,4744500,107.385624
2011-06-20,119.349998,120.739998,119.339996,120.540001,5679800,106.458291
2011-06-17,120.230003,120.470001,119.43,119.739998,7742000,105.751746
2011-06-16,118.839996,119.849998,118.690002,119.529999,7469900,105.38258
2011-06-15,119.650002,120.059998,118.550003,118.879997,20958800,104.809512
