Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,115.32,115.730003,115.040001,115.629997,3725200,100.951993
2010-12-30,115.529999,115.709999,115.260002,115.449997,6599100,100.794842
2010-12-29,115.709999,115.980003,115.620003,115.650002,6621900,100.969458
2010-12-28,115.769997,115.879997,115.339996,115.790001,4738400,100.875168
2010-12-27,115.360001,115.639999,115.150002,115.540001,4138600,100.65737
2010-12-23,115.510002,115.790001,115.400002,115.730003,3578800,100.822899
2010-12-22,115.349998,115.660004,115.25,115.580002,3487300,100.692219
2010-12-21,115.110001,115.459999,114.989998,115.309998,4783100,100.456994
2010-12-20,115.139999,115.150002,114.379997,114.75,6742100,99.969129
2010-12-17,114.93,114.989998,114.480003,114.949997,4621200,100.143365
2010-12-16,114.989998,115.389999,114.419998,115.239998,8109500,100.166887
2010-12-15,114.910004,115.440002,114.68,114.889999,5851100,99.862667
2010-12-14,114.629997,115.379997,114.589996,115.010002,5212500,99.966974
2010-12-13,114.669998,115.029999,114.43,114.489998,4756900,99.514985
2010-12-10,114.099998,114.339996,113.769997,114.290001,8294000,99.341147
2010-12-09,114.349998,114.389999,113.510002,113.919998,5237500,99.01954
2010-12-08,113.699997,114.080002,113.449997,113.889999,6518700,98.993465
2010-12-07,114.620003,114.709999,113.669998,113.730003,7617300,98.854396
2010-12-06,113.779999,114.050003,113.629997,113.739998,6181100,98.863083
2010-12-03,113.339996,114.019997,113.309998,113.940002,4550500,99.036928
2010-12-02,112.769997,113.870003,112.75,113.739998,6146200,98.863083
2010-12-01,111.68,112.900002,111.589996,112.669998,7312300,97.933037
2010-11-30,109.669998,110.760002,109.559998,110.169998,8055600,95.760031
2010-11-29,110.260002,110.860001,109.400002,110.650002,6040400,96.177251
2010-11-26,110.940002,111.349998,110.639999,110.639999,2330100,96.168557
2010-11-24,111.00,111.959999,111.00,111.849998,4288200,97.220291
2010-11-23,110.779999,110.809998,109.900002,110.389999,6615500,95.951256
2010-11-22,111.550003,111.860001,110.540001,111.82,6814800,97.194216
2010-11-19,111.660004,112.059998,111.18,112.010002,4474300,97.359367
2010-11-18,111.360001,112.370003,111.349998,112.150002,7154500,97.16727
2010-11-17,110.639999,110.790001,110.260002,110.440002,5558800,95.685719
2010-11-16,111.589996,111.739998,110.07,110.50,9492400,95.737701
2010-11-15,112.32,113.029999,112.18,112.25,6607300,97.253909
2010-11-12,112.459999,112.989998,111.650002,112.160004,8695800,97.175936
2010-11-11,112.900002,113.260002,112.529999,113.080002,5517900,97.973026
2010-11-10,113.620003,113.889999,112.760002,113.730003,9956900,98.53619
2010-11-09,114.379997,114.410004,113.230003,113.690002,5838500,98.501534
2010-11-08,114.139999,114.349998,113.779999,114.220001,4081700,98.960727
2010-11-05,114.449997,114.629997,114.050003,114.540001,6347900,99.237976
2010-11-04,113.309998,114.519997,113.239998,114.43,9353700,99.142671
2010-11-03,112.07,112.370003,111.059998,112.300003,10108800,97.297232
2010-11-02,112.010002,112.279999,111.849998,111.879997,4073600,96.933337
2010-11-01,111.68,112.510002,110.669998,111.32,9428500,96.448152
2010-10-29,111.019997,111.379997,110.809998,111.309998,5972000,96.439486
2010-10-28,111.769997,111.860001,110.580002,111.099998,5657500,96.257542
2010-10-27,111.120003,111.459999,110.260002,111.309998,7608300,96.439486
2010-10-26,111.199997,111.910004,110.93,111.760002,5371300,96.829373
2010-10-25,111.900002,112.550003,111.660004,111.709999,6126500,96.78605
2010-10-22,111.589996,111.68,111.150002,111.360001,3549800,96.482809
2010-10-21,111.580002,112.209999,110.699997,111.540001,6992000,96.638762
2010-10-20,110.089996,111.580002,109.82,111.089996,7394700,96.248876
2010-10-19,110.290001,110.68,109.169998,109.839996,9253700,95.165871
2010-10-18,110.68,111.589996,110.550003,111.010002,4434900,96.179569
2010-10-15,111.43,111.470001,110.110001,110.68,9377400,95.893654
2010-10-14,111.050003,111.230003,110.309998,111.07,8971700,96.150976
2010-10-13,110.82,111.639999,110.660004,111.059998,6921600,96.142317
2010-10-12,109.93,110.629997,109.209999,110.260002,5373500,95.449778
2010-10-11,110.290001,110.400002,109.879997,110.260002,3527300,95.449778
2010-10-08,109.660004,110.410004,109.379997,110.160004,4812900,95.363211
2010-10-07,110.089996,110.110001,109.010002,109.599998,5282200,94.878426
2010-10-06,109.440002,109.830002,109.269997,109.769997,7215600,95.02559
2010-10-05,108.410004,109.68,108.269997,109.400002,6493200,94.705293
2010-10-04,108.160004,108.550003,107.07,107.57,5561600,93.121099
2010-10-01,108.550003,108.730003,107.839996,108.32,5987600,93.770358
2010-09-30,108.910004,109.519997,107.470001,107.910004,11670500,93.415433
2010-09-29,108.349998,108.709999,108.00,108.309998,6281000,93.7617
2010-09-28,108.360001,108.870003,107.300003,108.559998,7872700,93.978119
2010-09-27,108.57,108.730003,108.080002,108.190002,3989800,93.657822
2010-09-24,107.769997,108.660004,107.669998,108.57,5334900,93.986778
2010-09-23,106.639999,107.620003,106.410004,106.669998,7547400,92.341986
