Date,Open,High,Low,Close,Volume,Adj Close
2009-11-09,101.07,102.440002,100.910004,102.419998,10959900,86.521319
2009-11-06,99.650002,100.599998,99.43,100.370003,10786100,84.789545
2009-11-05,98.860001,100.230003,98.809998,100.160004,9811600,84.612144
2009-11-04,98.379997,99.379997,97.940002,98.169998,14714300,82.931047
2009-11-03,97.260002,97.93,97.07,97.800003,13945600,82.618487
2009-11-02,97.400002,99.00,96.82,97.849998,20615900,82.660721
2009-10-30,99.349998,99.639999,96.870003,97.059998,29751800,81.993352
2009-10-29,98.339996,99.739998,98.050003,99.540001,12927200,84.088384
2009-10-28,98.620003,99.07,97.620003,97.68,17191500,82.517112
2009-10-27,98.949997,99.529999,98.400002,98.82,14503800,83.480149
2009-10-26,99.900002,100.769997,98.519997,98.809998,16109800,83.471699
2009-10-23,100.980003,101.07,99.370003,99.830002,13214000,84.333368
2009-10-22,99.620003,101.089996,99.199997,100.739998,13423200,85.102105
2009-10-21,100.220001,101.199997,99.410004,99.43,12893600,83.995459
2009-10-20,100.970001,101.010002,99.900002,100.389999,9387400,84.806437
2009-10-19,100.110001,101.169998,99.93,100.860001,9772400,85.20348
2009-10-16,99.739998,100.209999,99.370003,99.989998,13185400,84.468528
2009-10-15,99.870003,100.669998,99.839996,100.650002,7667900,84.946668
2009-10-14,99.769997,100.360001,99.43,100.230003,9162700,84.592197
2009-10-13,98.639999,99.019997,98.220001,98.830002,6026200,83.410623
2009-10-12,99.00,99.389999,98.559998,98.940002,5438300,83.503461
2009-10-09,97.870003,98.720001,97.690002,98.690002,6494100,83.292466
2009-10-08,97.940002,98.449997,97.540001,97.910004,9701300,82.634162
2009-10-07,97.129997,97.480003,96.830002,97.279999,10039900,82.10245
2009-10-06,96.580002,97.769997,96.559998,97.290001,12439600,82.110892
2009-10-05,95.07,96.279999,94.800003,95.970001,8742700,80.996837
2009-10-02,94.220001,95.269997,94.199997,94.860001,15752800,80.060018
2009-10-01,96.919998,96.940002,95.010002,95.120003,15473500,80.279455
2009-09-30,97.620003,97.790001,96.07,97.089996,15351500,81.942092
2009-09-29,97.949997,98.360001,97.389999,97.440002,8171200,82.23749
